BIN ID,Date,TIME,WEEK NO,FILL LEVEL(IN LITRES),TOTAL(LITRES),FILL PERCENTAGE,LOCATION ,LATITUDE,LONGITUDE,TEMPERATURE( IN ⁰C),BATTERY LEVEL ,FILL LEVEL INDICATOR(Above 550)
BIN 1,10/2/2021,07:00:00 AM,1,188,660,28%,MANAPAKKAM,13.0213° N,80.1832° E,37.8,100%,FALSE
BIN 1,10/2/2021,08:00:00 AM,1,214,660,32%,MANAPAKKAM,13.0213° N,80.1832° E,37.5,100%,FALSE
BIN 1,10/2/2021,09:00:00 AM,1,240,660,36%,MANAPAKKAM,13.0213° N,80.1832° E,37,100%,FALSE
BIN 1,10/2/2021,10:00:00 AM,1,266,660,40%,MANAPAKKAM,13.0213° N,80.1832° E,36.5,100%,FALSE
BIN 1,10/2/2021,11:00:00 AM,1,292,660,44%,MANAPAKKAM,13.0213° N,80.1832° E,32,100%,FALSE
BIN 1,10/2/2021,12:00:00 PM,1,318,660,48%,MANAPAKKAM,13.0213° N,80.1832° E,24,100%,FALSE
BIN 1,10/2/2021,01:00:00 PM,1,344,660,52%,MANAPAKKAM,13.0213° N,80.1832° E,24.6,100%,FALSE
BIN 1,10/2/2021,02:00:00 PM,1,370,660,56%,MANAPAKKAM,13.0213° N,80.1832° E,24.6,100%,FALSE
BIN 1,10/2/2021,03:00:00 PM,1,396,660,60%,MANAPAKKAM,13.0213° N,80.1832° E,24.8,100%,FALSE
BIN 1,10/2/2021,04:00:00 PM,1,422,660,64%,MANAPAKKAM,13.0213° N,80.1832° E,25,100%,FALSE
BIN 1,10/2/2021,05:00:00 PM,1,448,660,68%,MANAPAKKAM,13.0213° N,80.1832° E,26.2,100%,FALSE
BIN 1,10/2/2021,06:00:00 PM,1,474,660,72%,MANAPAKKAM,13.0213° N,80.1832° E,27,100%,FALSE
BIN 1,10/2/2021,07:00:00 PM,1,500,660,76%,MANAPAKKAM,13.0213° N,80.1832° E,28.3,100%,FALSE
BIN 1,10/2/2021,08:00:00 PM,1,526,660,80%,MANAPAKKAM,13.0213° N,80.1832° E,28.3,100%,FALSE
BIN 1,10/2/2021,09:00:00 PM,1,552,660,84%,MANAPAKKAM,13.0213° N,80.1832° E,29,100%,TRUE
BIN 1,10/2/2021,10:00:00 PM,1,578,660,88%,MANAPAKKAM,13.0213° N,80.1832° E,32,100%,TRUE
BIN 1,10/2/2021,11:00:00 PM,1,604,660,92%,MANAPAKKAM,13.0213° N,80.1832° E,34.20,100%,TRUE
BIN 1,10/3/2021,12:00:00 AM,1,11,660,2%,MANAPAKKAM,13.0213° N,80.1832° E,35.20,100%,FALSE
BIN 1,10/3/2021,01:00:00 AM,1,38,660,6%,MANAPAKKAM,13.0213° N,80.1832° E,36.20,100%,FALSE
BIN 1,10/3/2021,02:00:00 AM,1,65,660,10%,MANAPAKKAM,13.0213° N,80.1832° E,37.20,100%,FALSE
BIN 1,10/3/2021,03:00:00 AM,1,92,660,14%,MANAPAKKAM,13.0213° N,80.1832° E,38.20,100%,FALSE
BIN 1,10/3/2021,04:00:00 AM,1,119,660,18%,MANAPAKKAM,13.0213° N,80.1832° E,39.20,100%,FALSE
BIN 1,10/3/2021,05:00:00 AM,1,146,660,22%,MANAPAKKAM,13.0213° N,80.1832° E,40.20,100%,FALSE
BIN 1,10/3/2021,06:00:00 AM,1,173,660,26%,MANAPAKKAM,13.0213° N,80.1832° E,41.20,100%,FALSE
BIN 1,10/3/2021,07:00:00 AM,1,200,660,30%,MANAPAKKAM,13.0213° N,80.1832° E,42.20,100%,FALSE
BIN 1,10/3/2021,08:00:00 AM,1,227,660,34%,MANAPAKKAM,13.0213° N,80.1832° E,43.20,100%,FALSE
BIN 1,10/3/2021,09:00:00 AM,1,254,660,38%,MANAPAKKAM,13.0213° N,80.1832° E,44.20,100%,FALSE
BIN 1,10/3/2021,10:00:00 AM,1,281,660,43%,MANAPAKKAM,13.0213° N,80.1832° E,45.20,100%,FALSE
BIN 1,10/3/2021,11:00:00 AM,1,308,660,47%,MANAPAKKAM,13.0213° N,80.1832° E,46.20,100%,FALSE
BIN 1,10/3/2021,12:00:00 PM,1,335,660,51%,MANAPAKKAM,13.0213° N,80.1832° E,47.20,100%,FALSE
BIN 1,10/3/2021,01:00:00 PM,1,362,660,55%,MANAPAKKAM,13.0213° N,80.1832° E,48.20,100%,FALSE
BIN 1,10/3/2021,02:00:00 PM,1,389,660,59%,MANAPAKKAM,13.0213° N,80.1832° E,49.20,100%,FALSE
BIN 1,10/3/2021,03:00:00 PM,1,416,660,63%,MANAPAKKAM,13.0213° N,80.1832° E,50.20,100%,FALSE
BIN 1,10/3/2021,04:00:00 PM,1,443,660,67%,MANAPAKKAM,13.0213° N,80.1832° E,51.20,100%,FALSE
BIN 1,10/3/2021,05:00:00 PM,1,470,660,71%,MANAPAKKAM,13.0213° N,80.1832° E,52.20,100%,FALSE
BIN 1,10/3/2021,06:00:00 PM,1,497,660,75%,MANAPAKKAM,13.0213° N,80.1832° E,53.20,100%,FALSE
BIN 1,10/3/2021,07:00:00 PM,1,524,660,79%,MANAPAKKAM,13.0213° N,80.1832° E,54.20,100%,FALSE
BIN 1,10/3/2021,08:00:00 PM,1,551,660,83%,MANAPAKKAM,13.0213° N,80.1832° E,55.20,100%,TRUE
BIN 1,10/3/2021,09:00:00 PM,1,578,660,88%,MANAPAKKAM,13.0213° N,80.1832° E,56.20,100%,TRUE
BIN 1,10/3/2021,10:00:00 PM,1,605,660,92%,MANAPAKKAM,13.0213° N,80.1832° E,57.20,100%,TRUE
BIN 1,10/3/2021,11:00:00 PM,1,632,660,96%,MANAPAKKAM,13.0213° N,80.1832° E,58.20,100%,TRUE
BIN 1,10/4/2021,12:00:00 AM,1,5,660,1%,MANAPAKKAM,13.0213° N,80.1832° E,24,100%,FALSE
BIN 1,10/4/2021,01:00:00 AM,1,28,660,4%,MANAPAKKAM,13.0213° N,80.1832° E,24.6,100%,FALSE
BIN 1,10/4/2021,02:00:00 AM,1,51,660,8%,MANAPAKKAM,13.0213° N,80.1832° E,24.6,100%,FALSE
BIN 1,10/4/2021,03:00:00 AM,1,74,660,11%,MANAPAKKAM,13.0213° N,80.1832° E,24.8,100%,FALSE
BIN 1,10/4/2021,04:00:00 AM,1,97,660,15%,MANAPAKKAM,13.0213° N,80.1832° E,25,100%,FALSE
BIN 1,10/4/2021,05:00:00 AM,1,120,660,18%,MANAPAKKAM,13.0213° N,80.1832° E,26.2,100%,FALSE
BIN 1,10/4/2021,06:00:00 AM,1,143,660,22%,MANAPAKKAM,13.0213° N,80.1832° E,27,100%,FALSE
BIN 1,10/4/2021,07:00:00 AM,1,166,660,25%,MANAPAKKAM,13.0213° N,80.1832° E,28.3,100%,FALSE
BIN 1,10/4/2021,08:00:00 AM,1,189,660,29%,MANAPAKKAM,13.0213° N,80.1832° E,28.3,100%,FALSE
BIN 1,10/4/2021,09:00:00 AM,1,212,660,32%,MANAPAKKAM,13.0213° N,80.1832° E,29,100%,FALSE
BIN 1,10/4/2021,10:00:00 AM,1,235,660,36%,MANAPAKKAM,13.0213° N,80.1832° E,32,100%,FALSE
BIN 1,10/4/2021,11:00:00 AM,1,258,660,39%,MANAPAKKAM,13.0213° N,80.1832° E,34,100%,FALSE
BIN 1,10/4/2021,12:00:00 PM,1,281,660,43%,MANAPAKKAM,13.0213° N,80.1832° E,36.8,99%,FALSE
BIN 1,10/4/2021,01:00:00 PM,1,304,660,46%,MANAPAKKAM,13.0213° N,80.1832° E,38.9,99%,FALSE
BIN 1,10/4/2021,02:00:00 PM,1,327,660,50%,MANAPAKKAM,13.0213° N,80.1832° E,40.4,99%,FALSE
BIN 1,10/4/2021,03:00:00 PM,1,350,660,53%,MANAPAKKAM,13.0213° N,80.1832° E,40.4,99%,FALSE
BIN 1,10/4/2021,04:00:00 PM,1,373,660,57%,MANAPAKKAM,13.0213° N,80.1832° E,40.8,99%,FALSE
BIN 1,10/4/2021,05:00:00 PM,1,396,660,60%,MANAPAKKAM,13.0213° N,80.1832° E,42.5,99%,FALSE
BIN 1,10/4/2021,06:00:00 PM,1,419,660,63%,MANAPAKKAM,13.0213° N,80.1832° E,37.3,99%,FALSE
BIN 1,10/4/2021,07:00:00 PM,1,442,660,67%,MANAPAKKAM,13.0213° N,80.1832° E,37.8,99%,FALSE
BIN 1,10/4/2021,08:00:00 PM,1,465,660,70%,MANAPAKKAM,13.0213° N,80.1832° E,37.5,99%,FALSE
BIN 1,10/4/2021,09:00:00 PM,1,488,660,74%,MANAPAKKAM,13.0213° N,80.1832° E,37,99%,FALSE
BIN 1,10/4/2021,10:00:00 PM,1,511,660,77%,MANAPAKKAM,13.0213° N,80.1832° E,36.5,99%,FALSE
BIN 1,10/4/2021,11:00:00 PM,1,534,660,81%,MANAPAKKAM,13.0213° N,80.1832° E,32,99%,FALSE
BIN 1,10/5/2021,12:00:00 AM,2,3,660,0%,MANAPAKKAM,13.0213° N,80.1832° E,24,99%,FALSE
BIN 1,10/5/2021,01:00:00 AM,2,30,660,5%,MANAPAKKAM,13.0213° N,80.1832° E,24.6,99%,FALSE
BIN 1,10/5/2021,02:00:00 AM,2,57,660,9%,MANAPAKKAM,13.0213° N,80.1832° E,24.6,99%,FALSE
BIN 1,10/5/2021,03:00:00 AM,2,84,660,13%,MANAPAKKAM,13.0213° N,80.1832° E,24.8,99%,FALSE
BIN 1,10/5/2021,04:00:00 AM,2,111,660,17%,MANAPAKKAM,13.0213° N,80.1832° E,25,99%,FALSE
BIN 1,10/5/2021,05:00:00 AM,2,138,660,21%,MANAPAKKAM,13.0213° N,80.1832° E,26.2,99%,FALSE
BIN 1,10/5/2021,06:00:00 AM,2,165,660,25%,MANAPAKKAM,13.0213° N,80.1832° E,27,99%,FALSE
BIN 1,10/5/2021,07:00:00 AM,2,192,660,29%,MANAPAKKAM,13.0213° N,80.1832° E,28.3,99%,FALSE
BIN 1,10/5/2021,08:00:00 AM,2,219,660,33%,MANAPAKKAM,13.0213° N,80.1832° E,28.3,99%,FALSE
BIN 1,10/5/2021,09:00:00 AM,2,246,660,37%,MANAPAKKAM,13.0213° N,80.1832° E,29,99%,FALSE
BIN 1,10/5/2021,10:00:00 AM,2,273,660,41%,MANAPAKKAM,13.0213° N,80.1832° E,32,99%,FALSE
BIN 1,10/5/2021,11:00:00 AM,2,300,660,45%,MANAPAKKAM,13.0213° N,80.1832° E,34,99%,FALSE
BIN 1,10/5/2021,12:00:00 PM,2,327,660,50%,MANAPAKKAM,13.0213° N,80.1832° E,36.8,99%,FALSE
BIN 1,10/5/2021,01:00:00 PM,2,354,660,54%,MANAPAKKAM,13.0213° N,80.1832° E,38.9,99%,FALSE
BIN 1,10/5/2021,02:00:00 PM,2,381,660,58%,MANAPAKKAM,13.0213° N,80.1832° E,40.4,99%,FALSE
BIN 1,10/5/2021,03:00:00 PM,2,408,660,62%,MANAPAKKAM,13.0213° N,80.1832° E,40.4,99%,FALSE
BIN 1,10/5/2021,04:00:00 PM,2,435,660,66%,MANAPAKKAM,13.0213° N,80.1832° E,40.8,99%,FALSE
BIN 1,10/5/2021,05:00:00 PM,2,462,660,70%,MANAPAKKAM,13.0213° N,80.1832° E,42.5,99%,FALSE
BIN 1,10/5/2021,06:00:00 PM,2,489,660,74%,MANAPAKKAM,13.0213° N,80.1832° E,37.3,99%,FALSE
BIN 1,10/5/2021,07:00:00 PM,2,516,660,78%,MANAPAKKAM,13.0213° N,80.1832° E,37.8,99%,FALSE
BIN 1,10/5/2021,08:00:00 PM,2,543,660,82%,MANAPAKKAM,13.0213° N,80.1832° E,37.5,99%,FALSE
BIN 1,10/5/2021,09:00:00 PM,2,570,660,86%,MANAPAKKAM,13.0213° N,80.1832° E,37,99%,TRUE
BIN 1,10/5/2021,10:00:00 PM,2,597,660,90%,MANAPAKKAM,13.0213° N,80.1832° E,36.5,99%,TRUE
BIN 1,10/5/2021,11:00:00 PM,2,624,660,95%,MANAPAKKAM,13.0213° N,80.1832° E,32,99%,TRUE
BIN 1,10/6/2021,12:00:00 AM,2,10,660,2%,MANAPAKKAM,13.0213° N,80.1832° E,24,99%,FALSE
BIN 1,10/6/2021,01:00:00 AM,2,36,660,5%,MANAPAKKAM,13.0213° N,80.1832° E,24.6,99%,FALSE
BIN 1,10/6/2021,02:00:00 AM,2,62,660,9%,MANAPAKKAM,13.0213° N,80.1832° E,24.6,99%,FALSE
BIN 1,10/6/2021,03:00:00 AM,2,88,660,13%,MANAPAKKAM,13.0213° N,80.1832° E,24.8,99%,FALSE
BIN 1,10/6/2021,04:00:00 AM,2,114,660,17%,MANAPAKKAM,13.0213° N,80.1832° E,25,99%,FALSE
BIN 1,10/6/2021,05:00:00 AM,2,140,660,21%,MANAPAKKAM,13.0213° N,80.1832° E,26.2,99%,FALSE
BIN 1,10/6/2021,06:00:00 AM,2,166,660,25%,MANAPAKKAM,13.0213° N,80.1832° E,27,99%,FALSE
BIN 1,10/6/2021,07:00:00 AM,2,192,660,29%,MANAPAKKAM,13.0213° N,80.1832° E,28.3,99%,FALSE
BIN 1,10/6/2021,08:00:00 AM,2,218,660,33%,MANAPAKKAM,13.0213° N,80.1832° E,28.3,99%,FALSE
BIN 1,10/6/2021,09:00:00 AM,2,244,660,37%,MANAPAKKAM,13.0213° N,80.1832° E,29,99%,FALSE
BIN 1,10/6/2021,10:00:00 AM,2,270,660,41%,MANAPAKKAM,13.0213° N,80.1832° E,32,99%,FALSE
BIN 1,10/6/2021,11:00:00 AM,2,296,660,45%,MANAPAKKAM,13.0213° N,80.1832° E,34,99%,FALSE
BIN 1,10/6/2021,12:00:00 PM,2,322,660,49%,MANAPAKKAM,13.0213° N,80.1832° E,36.8,99%,FALSE
BIN 1,10/6/2021,01:00:00 PM,2,348,660,53%,MANAPAKKAM,13.0213° N,80.1832° E,38.9,99%,FALSE
BIN 1,10/6/2021,02:00:00 PM,2,374,660,57%,MANAPAKKAM,13.0213° N,80.1832° E,40.4,99%,FALSE
BIN 1,10/6/2021,03:00:00 PM,2,400,660,61%,MANAPAKKAM,13.0213° N,80.1832° E,40.4,99%,FALSE
BIN 1,10/6/2021,04:00:00 PM,2,426,660,65%,MANAPAKKAM,13.0213° N,80.1832° E,40.8,99%,FALSE
BIN 1,10/6/2021,05:00:00 PM,2,452,660,68%,MANAPAKKAM,13.0213° N,80.1832° E,42.5,99%,FALSE
BIN 1,10/6/2021,06:00:00 PM,2,478,660,72%,MANAPAKKAM,13.0213° N,80.1832° E,37.3,99%,FALSE
BIN 1,10/6/2021,07:00:00 PM,2,504,660,76%,MANAPAKKAM,13.0213° N,80.1832° E,37.8,99%,FALSE
BIN 1,10/6/2021,08:00:00 PM,2,530,660,80%,MANAPAKKAM,13.0213° N,80.1832° E,37.5,99%,FALSE
BIN 1,10/6/2021,09:00:00 PM,2,556,660,84%,MANAPAKKAM,13.0213° N,80.1832° E,37,99%,TRUE
BIN 1,10/6/2021,10:00:00 PM,2,582,660,88%,MANAPAKKAM,13.0213° N,80.1832° E,36.5,99%,TRUE
BIN 1,10/6/2021,11:00:00 PM,2,608,660,92%,MANAPAKKAM,13.0213° N,80.1832° E,32,99%,TRUE
BIN 1,10/7/2021,12:00:00 AM,2,8,660,1%,MANAPAKKAM,13.0213° N,80.1832° E,24,99%,FALSE
BIN 1,10/7/2021,01:00:00 AM,2,31,660,5%,MANAPAKKAM,13.0213° N,80.1832° E,24.6,99%,FALSE
BIN 1,10/7/2021,02:00:00 AM,2,54,660,8%,MANAPAKKAM,13.0213° N,80.1832° E,24.6,99%,FALSE
BIN 1,10/7/2021,03:00:00 AM,2,77,660,12%,MANAPAKKAM,13.0213° N,80.1832° E,24.8,99%,FALSE
BIN 1,10/7/2021,04:00:00 AM,2,100,660,15%,MANAPAKKAM,13.0213° N,80.1832° E,25,99%,FALSE
BIN 1,10/7/2021,05:00:00 AM,2,123,660,19%,MANAPAKKAM,13.0213° N,80.1832° E,26.2,99%,FALSE
BIN 1,10/7/2021,06:00:00 AM,2,146,660,22%,MANAPAKKAM,13.0213° N,80.1832° E,27,99%,FALSE
BIN 1,10/7/2021,07:00:00 AM,2,169,660,26%,MANAPAKKAM,13.0213° N,80.1832° E,28.3,99%,FALSE
BIN 1,10/7/2021,08:00:00 AM,2,192,660,29%,MANAPAKKAM,13.0213° N,80.1832° E,28.3,99%,FALSE
BIN 1,10/7/2021,09:00:00 AM,2,215,660,33%,MANAPAKKAM,13.0213° N,80.1832° E,29,99%,FALSE
BIN 1,10/7/2021,10:00:00 AM,2,238,660,36%,MANAPAKKAM,13.0213° N,80.1832° E,32,99%,FALSE
BIN 1,10/7/2021,11:00:00 AM,2,261,660,40%,MANAPAKKAM,13.0213° N,80.1832° E,34,99%,FALSE
BIN 1,10/7/2021,12:00:00 PM,2,284,660,43%,MANAPAKKAM,13.0213° N,80.1832° E,36.8,99%,FALSE
BIN 1,10/7/2021,01:00:00 PM,2,307,660,47%,MANAPAKKAM,13.0213° N,80.1832° E,38.9,99%,FALSE
BIN 1,10/7/2021,02:00:00 PM,2,330,660,50%,MANAPAKKAM,13.0213° N,80.1832° E,40.4,99%,FALSE
BIN 1,10/7/2021,03:00:00 PM,2,353,660,53%,MANAPAKKAM,13.0213° N,80.1832° E,40.4,99%,FALSE
BIN 1,10/7/2021,04:00:00 PM,2,376,660,57%,MANAPAKKAM,13.0213° N,80.1832° E,40.8,99%,FALSE
BIN 1,10/7/2021,05:00:00 PM,2,399,660,60%,MANAPAKKAM,13.0213° N,80.1832° E,42.5,99%,FALSE
BIN 1,10/7/2021,06:00:00 PM,2,422,660,64%,MANAPAKKAM,13.0213° N,80.1832° E,37.3,98%,FALSE
BIN 1,10/7/2021,07:00:00 PM,2,445,660,67%,MANAPAKKAM,13.0213° N,80.1832° E,37.8,98%,FALSE
BIN 1,10/7/2021,08:00:00 PM,2,468,660,71%,MANAPAKKAM,13.0213° N,80.1832° E,37.5,98%,FALSE
BIN 1,10/7/2021,09:00:00 PM,2,491,660,74%,MANAPAKKAM,13.0213° N,80.1832° E,37,98%,FALSE
BIN 1,10/7/2021,10:00:00 PM,2,514,660,78%,MANAPAKKAM,13.0213° N,80.1832° E,36.5,98%,FALSE
BIN 1,10/7/2021,11:00:00 PM,2,537,660,81%,MANAPAKKAM,13.0213° N,80.1832° E,32,98%,FALSE
BIN 1,10/8/2021,12:00:00 AM,2,8,660,1%,MANAPAKKAM,13.0213° N,80.1832° E,24,98%,FALSE
BIN 1,10/8/2021,01:00:00 AM,2,35,660,5%,MANAPAKKAM,13.0213° N,80.1832° E,24.6,98%,FALSE
BIN 1,10/8/2021,02:00:00 AM,2,62,660,9%,MANAPAKKAM,13.0213° N,80.1832° E,24.6,98%,FALSE
BIN 1,10/8/2021,03:00:00 AM,2,89,660,13%,MANAPAKKAM,13.0213° N,80.1832° E,24.8,98%,FALSE
BIN 1,10/8/2021,04:00:00 AM,2,116,660,18%,MANAPAKKAM,13.0213° N,80.1832° E,25,98%,FALSE
BIN 1,10/8/2021,05:00:00 AM,2,143,660,22%,MANAPAKKAM,13.0213° N,80.1832° E,26.2,98%,FALSE
BIN 1,10/8/2021,06:00:00 AM,2,170,660,26%,MANAPAKKAM,13.0213° N,80.1832° E,27,98%,FALSE
BIN 1,10/8/2021,07:00:00 AM,2,197,660,30%,MANAPAKKAM,13.0213° N,80.1832° E,28.3,98%,FALSE
BIN 1,10/8/2021,08:00:00 AM,2,224,660,34%,MANAPAKKAM,13.0213° N,80.1832° E,28.3,98%,FALSE
BIN 1,10/8/2021,09:00:00 AM,2,251,660,38%,MANAPAKKAM,13.0213° N,80.1832° E,29,98%,FALSE
BIN 1,10/8/2021,10:00:00 AM,2,278,660,42%,MANAPAKKAM,13.0213° N,80.1832° E,32,98%,FALSE
BIN 1,10/8/2021,11:00:00 AM,2,305,660,46%,MANAPAKKAM,13.0213° N,80.1832° E,34,98%,FALSE
BIN 1,10/8/2021,12:00:00 PM,2,332,660,50%,MANAPAKKAM,13.0213° N,80.1832° E,36.8,98%,FALSE
BIN 1,10/8/2021,01:00:00 PM,2,359,660,54%,MANAPAKKAM,13.0213° N,80.1832° E,38.9,98%,FALSE
BIN 1,10/8/2021,02:00:00 PM,2,386,660,58%,MANAPAKKAM,13.0213° N,80.1832° E,40.4,98%,FALSE
BIN 1,10/8/2021,03:00:00 PM,2,413,660,63%,MANAPAKKAM,13.0213° N,80.1832° E,40.4,98%,FALSE
BIN 1,10/8/2021,04:00:00 PM,2,440,660,67%,MANAPAKKAM,13.0213° N,80.1832° E,40.8,98%,FALSE
BIN 1,10/8/2021,05:00:00 PM,2,467,660,71%,MANAPAKKAM,13.0213° N,80.1832° E,42.5,98%,FALSE
BIN 1,10/8/2021,06:00:00 PM,2,494,660,75%,MANAPAKKAM,13.0213° N,80.1832° E,37.3,98%,FALSE
BIN 1,10/8/2021,07:00:00 PM,2,521,660,79%,MANAPAKKAM,13.0213° N,80.1832° E,37.8,98%,FALSE
BIN 1,10/8/2021,08:00:00 PM,2,548,660,83%,MANAPAKKAM,13.0213° N,80.1832° E,37.5,98%,FALSE
BIN 1,10/8/2021,09:00:00 PM,2,575,660,87%,MANAPAKKAM,13.0213° N,80.1832° E,37,98%,TRUE
BIN 1,10/8/2021,10:00:00 PM,2,602,660,91%,MANAPAKKAM,13.0213° N,80.1832° E,36.5,98%,TRUE
BIN 1,10/8/2021,11:00:00 PM,2,629,660,95%,MANAPAKKAM,13.0213° N,80.1832° E,32,98%,TRUE
BIN 1,10/9/2021,12:00:00 AM,2,15,660,2%,MANAPAKKAM,13.0213° N,80.1832° E,24,98%,FALSE
BIN 1,10/9/2021,01:00:00 AM,2,38,660,6%,MANAPAKKAM,13.0213° N,80.1832° E,24.6,98%,FALSE
BIN 1,10/9/2021,02:00:00 AM,2,61,660,9%,MANAPAKKAM,13.0213° N,80.1832° E,24.6,98%,FALSE
BIN 1,10/9/2021,03:00:00 AM,2,84,660,13%,MANAPAKKAM,13.0213° N,80.1832° E,24.8,98%,FALSE
BIN 1,10/9/2021,04:00:00 AM,2,107,660,16%,MANAPAKKAM,13.0213° N,80.1832° E,25,98%,FALSE
BIN 1,10/9/2021,05:00:00 AM,2,130,660,20%,MANAPAKKAM,13.0213° N,80.1832° E,26.2,98%,FALSE
BIN 1,10/9/2021,06:00:00 AM,2,153,660,23%,MANAPAKKAM,13.0213° N,80.1832° E,27,98%,FALSE
BIN 1,10/9/2021,07:00:00 AM,2,176,660,27%,MANAPAKKAM,13.0213° N,80.1832° E,28.3,98%,FALSE
BIN 1,10/9/2021,08:00:00 AM,2,199,660,30%,MANAPAKKAM,13.0213° N,80.1832° E,28.3,98%,FALSE
BIN 1,10/9/2021,09:00:00 AM,2,222,660,34%,MANAPAKKAM,13.0213° N,80.1832° E,29,98%,FALSE
BIN 1,10/9/2021,10:00:00 AM,2,245,660,37%,MANAPAKKAM,13.0213° N,80.1832° E,32,98%,FALSE
BIN 1,10/9/2021,11:00:00 AM,2,268,660,41%,MANAPAKKAM,13.0213° N,80.1832° E,34,98%,FALSE
BIN 1,10/9/2021,12:00:00 PM,2,291,660,44%,MANAPAKKAM,13.0213° N,80.1832° E,36.8,98%,FALSE
BIN 1,10/9/2021,01:00:00 PM,2,314,660,48%,MANAPAKKAM,13.0213° N,80.1832° E,38.9,98%,FALSE
